1-out||We take off now from last semester where we left off with quantum physics this semester.
2-out||Before we begin the course proper, I would like to get a little background from you on
3-out||what you already know, how we should run this course, what the modalities are and so on.
4-out||As far as the evaluation is concerned, it's the usual two quizzes and a final exam. Philosophical
5-out||and interpretational aspects of quantum mechanics are still open in the sense that, all questions
6-out||have not been answered. In spite of over a hundred years of effort, there are unresolved
7-out||questions, there are deep mysteries, and there are central mysteries and issues. Some of
8-out||them may turn out in the future to be non-questions in the sense that, you yourself may turn out
9-out||to be asking the wrong question and so on. But at the operational level, it's actually
10-out||easier than classical physics. The mathematics is simpler than classical mechanics, for instance,
11-out||and it works over a huge wide range of phenomena.
12-out||As far as we know, there are no violations of quantum mechanics. What we don't know
13-out||is its interpretation to complete satisfaction. We don't know if it's a complete theory,
14-out||we don't know if it will answer all questions and so on and so forth. But certainly as a
15-out||calculational device, it's extremely successful and as a way of understanding natural phenomena,
16-out||it seems to be the most basic of all subjects, in the sense that, everything at the ultimate
17-out||level turns out to obey quantum mechanics.
18-out||So with that kind of a very sketchy preamble, let me go on to state a few properties in
19-out||quantum mechanics. Depending on what the response is, whether it's familiar or not and so
20-out||on, I start as writing down the formulism. Because otherwise I could start by simply
21-out||saying the postulates of quantum mechanics are as follows and as we go along, when things
22-out||become inconvenient, I add one more postulate and then we go on and so forth and then you
23-out||just say this is a set and that's it, these are the rules and so on. I shouldn't want
24-out||to do that Since it is a conceptually very rich subject, I would like to find out what
25-out||it is that you know, what you don't know and so on before we decide how to approach
26-out||this subject.
27-out||Now the first point about quantum mechanics is that, all of you have heard that quantum
28-out||mechanics applies in the microscopic domain. It applies to electrons, atoms and things
29-out||of atomic sizes. This is only partly true. It applies to everything. It applies to human
30-out||beings, galaxies, the universe presumably, electrons, photons and so on. It is just that
31-out||the manifestations of quantum mechanics become very dramatic when you look at extremely small
32-out||objects. They become even more dramatic when you look at extremely small objects moving
33-out||very fast relativistically. So, that's the reason why one feels that quantum mechanics
34-out||is applicable only in the microscopic domain. Not true. It's applied everywhere. It has
35-out||some manifestations which are very dramatic even in real life, even in the macroscopic
36-out||domain. For instance, my favorite example is the fact that solids are rigid objects.
37-out||The fact that I don't go through the floor here, the fact that matter doesn't penetrate
